First Name,Height,Last Name,Position,Team
Jonas,7,Valanciunas,Center,raptors
Denzel,6,Valentine,Forward,bulls
Fred,6,VanVleet,Guard,raptors
Noah,6,Vonleh,Forward,bulls
Nikola,7,Vucevic,Center,magic
Dwyane,6,Wade,Guard,heat
Dion,6,Waiters,Guard,heat
Kemba,6,Walker,Guard,hornets
Tyrone,6,Wallace,Guard,clippers
John,6,Wall,Guard,wizards
Derrick,6,Walton,Guard,heat
TJ,6,Warren,Forward,suns
Travis,6,Wear,Forward,lakers
James,6,Webb,Forward,nets
Briante,6,Weber,Guard,grizzlies
Russell,6,Westbrook,Guard,thunder
David,6,West,Forward,warriors
Andrew,6,White,Forward,hawks
Derrick,6,White,Guard,spurs
Isaiah,6,Whitehead,Guard,nets
Okaro,6,White,Forward,cavaliers
Hassan,7,Whiteside,Center,heat
Andrew,6,Wiggins,Forward,timberwolves
CJ,6,Wilcox,Guard,blazers
Alan,6,Williams,Forward-Center,suns
C.J.,6,Williams,Forward-Guard,clippers
Lou,6,Williams,Guard,clippers
Marvin,6,Williams,Forward,hornets
Troy,6,Williams,Forward,knicks
D.J.,6,Wilson,Forward,bucks
Justise,6,Winslow,Forward,heat
Delon,6,Wright,Guard,raptors
Guerschon,6,Yabusele,Forward,celtics
Joe,6,Young,Guard,pacers
Nick,6,Young,Guard-Forward,warriors
Thaddeus,6,Young,Forward,pacers
Cody,7,Zeller,Center-Forward,hornets
Tyler,7,Zeller,Center,bucks
Paul,6,Zipser,Forward,bulls
Ante,6,Zizic,Forward-Center,cavaliers
