Player,Years,Pos,Ht,Wt
"Jae Crowder",7,F,6-Jun,235
"Dante Cunningham",10,F,8-Jun,230
"Stephen Curry",10,G,3-Jun,190
"Troy Daniels",6,G,4-Jun,205
"Anthony Davis",7,F-C,10-Jun,253
"Ed Davis",9,F,10-Jun,240
"Sam Dekker",4,F,9-Jun,230
"DeMar DeRozan",10,G-F,7-Jun,221
"Cheick Diallo",3,F,9-Jun,220
"Gorgui Dieng",6,C,11-Jun,241
"Spencer Dinwiddie",5,G,6-Jun,200
"Tyler Dorsey",2,G,5-Jun,183
"Goran Dragic",11,G,3-Jun,190
"Goran Dragic",11,G,3-Jun,190
"Andre Drummond",7,C,11-Jun,279
"Jared Dudley",12,F-G,7-Jun,225
"Kevin Durant",12,F-G,9-Jun,240
"Joel Embiid",3,C,Jul-00,250
"Joel Embiid",3,C,Jul-00,250
"James Ennis",5,F,7-Jun,210
"Tyreke Evans",10,G-F,6-Jun,220
"Dante Exum",5,G,6-Jun,190
"Derrick Favors",9,F-C,10-Jun,265
"Raymond Felton",14,G,1-Jun,205
"Terrance Ferguson",2,G-F,7-Jun,184
"Yogi Ferrell",3,G,Jun-00,180
"Bryn Forbes",3,G,3-Jun,190
"Evan Fournier",7,G-F,7-Jun,205
"Markelle Fultz",2,G,4-Jun,195
"Markelle Fultz",2,G,4-Jun,195
"Danilo Gallinari",11,F,10-Jun,225
"Langston Galloway",5,G,2-Jun,200
"Marc Gasol",11,C,1-Jul,255
"Pau Gasol",18,F-C,Jul-00,250
"Rudy Gay",13,F,8-Jun,230
"Paul George",9,F,9-Jun,220
"Taj Gibson",10,F,9-Jun,225
"Rudy Gobert",6,C,1-Jul,245
"Aaron Gordon",5,F,9-Jun,220
"Eric Gordon",11,G,4-Jun,215
"Marcin Gortat",12,C-F,11-Jun,240
"Treveon Graham",3,G,6-Jun,220
"Jerami Grant",5,F,8-Jun,210
"Jerian Grant",4,G,4-Jun,195
"Danny Green",10,G-F,6-Jun,215
"Draymond Green",7,F,7-Jun,230
"Gerald Green",14,G-F,7-Jun,205
"JaMychal Green",5,F,9-Jun,227
"Jeff Green",12,F,9-Jun,235
"Blake Griffin",9,F,10-Jun,251
"Tim Hardaway",6,G,6-Jun,205
"James Harden",10,G,5-Jun,220
"Maurice Harkless",7,F-G,9-Jun,215
"Montrezl Harrell",4,F-C,8-Jun,240
"Devin Harris",15,G,3-Jun,192
"Gary Harris",5,G,4-Jun,210
"Joe Harris",5,G,6-Jun,219
"Tobias Harris",8,F,9-Jun,235
"Josh Hart",2,G,5-Jun,209
"Gordon Hayward",9,F-G,8-Jun,226
"John Henson",7,C-F,11-Jun,229
"Willy Hernangomez",3,C,11-Jun,240
"Mario Hezonja",4,F-G,8-Jun,215
"Buddy Hield",3,G,4-Jun,214
"George Hill",11,G,3-Jun,188
"Solomon Hill",6,F,7-Jun,225
"Jrue Holiday",10,G,4-Jun,205
"Justin Holiday",7,G,6-Jun,185
"John Holland",2,G-F,5-Jun,205
"Rodney Hood",5,G-F,8-Jun,206
"Al Horford",12,C-F,10-Jun,245
"Serge Ibaka",10,F-C,10-Jun,235
"Andre Iguodala",15,G-F,6-Jun,215
"Ersan Ilyasova",13,F,10-Jun,235
"Joe Ingles",5,F-G,8-Jun,226
"Brandon Ingram",3,F,9-Jun,190
"Kyrie Irving",8,G,3-Jun,193
"Jonathan Isaac",2,F,10-Jun,210
"Josh Jackson",2,F-G,8-Jun,207
"Justin Jackson",2,G-F,8-Jun,200
"Reggie Jackson",8,G,3-Jun,208
"LeBron James",16,F-G,8-Jun,250
"Jonas Jerebko",10,F,10-Jun,231
"Amir Johnson",14,F-C,9-Jun,240
