Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year
Kenrich Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:35,-2,0,0,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,0,2019
Frank Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:35,-2,0,0,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,0,2019
Jahlil Okafor,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1:35,-2,0,0,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,-2,2019
Cheick Diallo,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1:35,-2,0,0,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,2,2019
Ian Clark,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,NA,2019
James Ennis,0,40,5,0,4,1,2,42.9,7,1,0,0,3,0,8,24:43:00,-5,0,0,1,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,16,2019
PJ Tucker,3,57.1,7,0,2,2,4,54.5,11,0,75,4,6,2,19,34:19:00,-13,1,1,1,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,33.5,2019
Clint Capela,0,0,0,1,3,8,0,44.4,9,3,0,0,4,5,8,26:11:00,-14,1,1,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,19.5,2019
James Harden,3,37.5,8,4,2,9,3,40,15,2,75,4,6,7,18,34:43:00,-23,10,1,3,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,53,2019
Chris Paul,4,42.9,7,1,3,5,3,50,12,0,80,5,6,5,19,32:21:00,-19,6,0,2,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,40,2019
Carmelo Anthony,2,20,5,2,4,4,1,30,10,1,50,4,3,3,9,27:00:00,-20,0,1,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,14,2019
Eric Gordon,5,22.2,9,0,0,3,2,50,14,0,100,5,7,3,21,29:21:00,-11,1,0,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,24.5,2019
Michael CarterWilliams,1,33.3,3,3,3,4,1,40,10,1,50,2,4,3,10,17:44,3,2,2,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,21,2019
Gerald Green,0,0,4,0,1,1,0,0,4,0,0,0,0,1,0,10:28,3,0,1,1,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,7,2019
Gary Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:35,2,0,0,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,0,2019
Isaiah Hartenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:35,2,0,0,0,17-Oct-18,9,35,36,30,30,29,25,30,28,112,131,"Lewis""""","Blair""""",Cutler,NEW,NOP,HOU,0,2019
Andrew Wiggins,2,33.3,6,2,3,6,2,44.4,18,0,100,2,8,6,20,37:27:00,0,3,0,1,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,33.5,2019
Taj Gibson,0,0,0,1,5,11,0,75,4,2,0,0,3,9,6,26:57:00,-4,0,0,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,16,2019
KarlAnthony Towns,3,50,2,3,6,9,1,33.3,6,2,100,3,2,7,8,22:23,-4,3,0,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,17.5,2019
Jimmy Butler,4,25,4,1,2,7,1,39.1,23,3,80,5,9,4,23,31:36:00,-3,3,1,4,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,46.5,2019
Jeff Teague,9,66.7,3,2,2,1,2,66.7,12,0,100,9,8,1,27,31:32:00,-5,4,0,2,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,33,2019
Derrick Rose,2,0,2,1,2,4,0,25,12,3,100,2,3,1,8,30:31:00,-1,2,0,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,12,2019
Gorgui Dieng,4,0,2,0,4,5,0,50,8,3,66.7,6,4,2,12,24:03:00,-1,2,1,2,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,25,2019
Tyus Jones,0,0,0,1,2,1,0,28.6,7,1,0,0,2,0,4,16:28,1,1,0,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,5.5,2019
Anthony Tolliver,0,0,0,0,1,2,0,0,1,0,0,0,0,2,0,19:03,-3,2,0,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,5,2019
Keita BatesDiop,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,NA,2019
Luol Deng,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,NA,2019
James Nunnally,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,NA,2019
Josh Okogie,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,NA,2019
Rudy Gay,1,100,1,1,3,7,1,66.7,12,3,50,2,8,4,18,23:29,2,0,1,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,28,2019
LaMarcus Aldridge,7,0,1,2,2,19,0,30.4,23,8,70,10,7,11,21,41:40:00,6,2,3,1,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,46,2019
Jakob Poeltl,0,0,0,0,3,4,0,50,4,4,0,0,2,0,4,7:52,2,2,0,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,11,2019
DeMar DeRozan,7,33.3,3,3,3,4,1,47.6,21,0,63.6,11,10,4,28,38:11:00,7,4,0,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,30,2019
Bryn Forbes,2,20,5,2,5,3,1,40,10,1,100,2,4,2,11,30:02:00,2,2,0,2,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,21,2019
Pau Gasol,2,100,1,1,2,7,1,25,4,3,100,2,1,4,5,22:40,-2,6,0,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,20,2019
Patty Mills,0,33.3,6,1,2,2,2,28.6,7,0,0,0,2,2,6,29:53:00,1,1,0,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,12.5,2019
Marco Belinelli,2,50,4,1,1,4,2,50,6,0,100,2,3,4,10,21:47,3,2,0,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,18,2019
Dante Cunningham,0,0,0,1,1,1,0,0,2,0,0,0,0,1,0,6:36,-4,1,0,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,1.5,2019
Davis Bertans,0,75,4,0,0,1,3,75,4,0,0,0,3,1,9,17:50,3,2,0,0,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,19,2019
Drew Eubanks,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,NA,2019
Chimezie Metu,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,NA,2019
Quincy Pondexter,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,10,23,29,31,25,31,25,25,31,112,108,"Brown""""","Maddox""""",Ervin,SAN,MIN,SAS,NA,2019
Joe Ingles,0,66.7,6,5,3,1,4,75,12,0,0,0,9,1,22,35:13:00,-6,6,0,4,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,47,2019
Derrick Favors,4,0,0,2,1,9,0,87.5,8,1,50,8,7,8,18,23:34,7,1,1,0,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,25.5,2019
Rudy Gobert,5,0,0,2,3,15,0,77.8,9,3,100,5,7,12,19,37:16:00,-9,0,3,0,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,36,2019
Donovan Mitchell,5,30,10,4,5,3,3,38.1,21,0,83.3,6,8,3,24,36:12:00,-12,2,0,2,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,33,2019
Ricky Rubio,1,0,0,2,3,2,0,0,4,0,100,1,0,2,1,21:52,-16,4,0,1,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,9,2019
Jae Crowder,7,50,4,0,2,5,2,40,5,0,77.8,9,2,5,13,33:13:00,17,0,0,0,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,15,2019
Alec Burks,2,100,3,1,1,3,3,57.1,7,0,100,2,4,3,13,17:59,25,4,0,1,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,28,2019
Dante Exum,4,33.3,3,1,1,4,1,44.4,9,1,57.1,7,4,3,13,26:07:00,21,4,0,0,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,20,2019
Royce ONeale,0,0,1,0,0,2,0,0,4,0,0,0,0,2,0,6:36,5,0,0,0,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,2,2019
Georges Niang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:59,-2,0,0,0,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,0,2019
Grayson Allen,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,NA,2019
Thabo Sefolosha,NA,NA,NA,NA,NA,NA,NA,NA,SUSPENDED,NA,NA,NA,,NA,NA,NWT,NA,NA,NA,NA,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,NA,2019
Ekpe Udoh,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,NA,2019
Buddy Hield,0,25,4,4,6,6,1,50,18,1,0,1,9,5,19,31:50:00,9,1,1,1,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,30.5,2019
Nemanja Bjelica,0,100,2,0,2,8,2,66.7,12,1,0,0,8,7,18,27:09:00,12,2,0,1,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,36,2019
Willie CauleyStein,3,0,0,0,2,7,0,66.7,15,2,50,6,10,5,23,38:25:00,17,4,2,1,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,42,2019
Yogi Ferrell,4,66.7,3,1,2,1,2,42.9,7,0,100,4,3,1,12,30:18:00,10,1,0,0,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,13.5,2019
DeAaron Fox,5,0,2,3,5,4,0,50,16,0,71.4,7,8,4,21,37:30:00,19,7,0,3,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,36.5,2019
Justin Jackson,0,0,4,0,2,2,0,40,10,0,0,0,4,2,8,30:29:00,-19,1,0,2,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,17.5,2019
Iman Shumpert,0,33.3,3,0,2,3,1,28.6,7,0,0,0,2,3,5,17:34,-29,0,0,0,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,10,2019
Marvin Bagley,0,0,0,0,2,5,0,50,6,1,0,0,3,4,6,12:07,-14,0,0,0,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,11,2019
Frank Mason,0,100,1,0,0,0,1,50,2,0,0,0,1,0,3,4:59,-12,0,0,0,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,5,2019
Harry Giles,0,0,0,1,4,1,0,50,2,0,0,0,1,1,2,9:38,-23,1,0,0,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,3.5,2019
Wenyen Gabriel,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,NA,2019
Skal Labissiere,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,NA,2019
Ben McLemore,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,11,30,38,25,30,34,21,32,30,117,123,"Davis""""","Orr""""",Washington,UTAH,UTA,SAC,NA,2019
Will Barton,4,60,5,2,2,5,3,50,12,0,100,4,6,5,19,34:46:00,10,2,2,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,33,2019
Paul Millsap,9,0,1,2,2,16,0,14.3,7,3,75,12,1,13,11,30:19:00,20,0,1,1,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,22,2019
Nikola Jokic,8,25,4,2,4,8,1,46.2,13,2,80,10,6,6,21,33:31:00,8,5,2,1,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,37.5,2019
Gary Harris,8,0,3,0,3,3,0,37.5,16,3,100,8,6,0,20,34:25:00,15,2,0,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,18,2019
Jamal Murray,0,25,4,1,2,5,1,25,12,2,0,0,3,3,7,31:38:00,18,3,0,1,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,20.5,2019
Trey Lyles,4,0,1,1,2,7,0,50,6,0,66.7,6,3,7,10,18:48,-10,0,0,1,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,15,2019
Monte Morris,0,50,2,0,0,2,1,33.3,9,1,0,0,3,1,7,16:23,-9,4,0,1,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,20,2019
Mason Plumlee,0,0,0,1,5,3,0,33.3,3,1,0,2,1,2,2,13:22,0,2,3,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,16,2019
Juancho Hernangomez,0,100,1,0,1,6,1,66.7,3,2,0,0,2,4,5,15:03,-8,1,1,1,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,20.5,2019
Malik Beasley,0,33.3,3,1,1,1,1,33.3,6,0,0,0,2,1,5,11:45,1,1,0,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,8.5,2019
Thomas Welsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:01,0,0,0,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,0,2019
Torrey Craig,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,NA,2019
Tyler Lydon,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,NA,2019
Tobias Harris,5,33.3,6,2,4,10,2,46.2,13,1,83.3,6,6,9,19,40:31:00,-5,1,3,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,36.5,2019
Danilo Gallinari,2,57.1,7,1,6,8,4,35.7,14,2,100,2,5,6,16,33:52:00,9,1,0,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,30.5,2019
Marcin Gortat,0,0,0,0,3,6,0,60,5,0,0,0,3,6,6,18:10,-5,2,0,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,15,2019
Avery Bradley,0,0,2,2,2,2,0,40,10,2,0,0,4,0,8,27:57:00,-9,0,2,1,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,17,2019
Patrick Beverley,0,0,5,1,5,4,0,0,8,0,0,0,0,4,0,19:31,-9,6,1,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,15,2019
Montrezl Harrell,2,0,0,0,3,5,0,25,8,1,100,2,2,4,6,16:18,-11,1,2,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,16.5,2019
Lou Williams,4,33.3,6,1,4,1,2,40,10,0,80,5,4,1,14,24:26:00,-4,5,0,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,21.5,2019
Shai GilgeousAlexander,1,0,0,3,1,2,0,83.3,6,0,100,1,5,2,11,28:11:00,0,4,1,1,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,21,2019
Luc Mbah,0,0,2,0,1,1,0,0,5,1,0,2,0,0,0,9:13,-12,1,0,1,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,5.5,2019
Mike Scott,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.166666667,-6,0,0,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,0,2019
Boban Marjanovic,6,0,0,2,3,8,0,75,8,2,100,6,6,6,18,17:51,7,0,0,0,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,18,2019
Jerome Robinson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,NA,2019
Tyrone Wallace,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,12,29,30,15,33,24,30,18,26,98,107,"Richardson""""","Phillips""""",Twardoski,DENVER,DEN,LAC,NA,2019
Dorian FinneySmith,2,40,5,0,2,3,2,57.1,7,0,100,2,4,3,12,30:20:00,-16,1,3,0,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,27.5,2019
Luka Doncic,0,0,5,4,3,8,0,31.3,16,2,0,2,5,6,10,31:47:00,-18,4,0,0,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,20,2019
DeAndre Jordan,1,0,0,0,5,12,0,55.6,9,4,100,1,5,8,11,30:30:00,-21,1,1,1,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,29.5,2019
Wesley Matthews,5,28.6,7,2,0,2,2,40,10,1,83.3,6,4,1,15,34:21:00,-15,5,0,1,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,24.5,2019
Dennis Smith,0,25,4,1,2,2,1,31.6,19,1,0,0,6,1,13,27:54:00,-19,5,0,3,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,32.5,2019
Devin Harris,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,6:12,-2,1,0,0,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,1.5,2019
JJ Barea,2,50,2,1,1,3,1,37.5,8,0,66.7,3,3,3,9,20:39,2,10,0,1,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,29,2019
Maxi Kleber,0,100,2,1,1,2,2,100,3,0,0,0,3,2,8,16:45,-3,0,0,0,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,13,2019
Ryan Broekhoff,0,33.3,3,0,0,0,1,33.3,3,0,0,0,1,0,3,3:59,-8,0,0,0,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,5,2019
Dwight Powell,4,0,1,0,1,5,0,75,8,2,66.7,6,6,3,16,17:30,0,0,1,1,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,23,2019
Jalen Brunson,0,33.3,3,0,1,1,1,33.3,3,0,0,0,1,1,3,19:07,-3,1,0,0,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,7.5,2019
Ray Spalding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:55,-2,0,0,0,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,0,2019
Salah Mejri,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,NA,2019
Trevor Ariza,2,55.6,9,0,2,8,5,58.3,12,0,100,2,7,8,21,37:01:00,25,7,0,1,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,50.5,2019
Ryan Anderson,0,0,1,1,0,7,0,25,4,3,0,0,1,4,2,24:01:00,22,3,0,0,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,12.5,2019
Deandre Ayton,2,0,0,0,2,10,0,72.7,11,1,100,2,8,9,18,36:29:00,17,6,1,1,17-Oct-18,13,24,22,27,27,37,19,27,38,121,100,"Callahan""""","Wood""""",Scott,PHOENIX,DAL,PHX,41,2019
