n,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Doug McDermott,0,50,4,0,0,0,2,50,4,0,0,0,2,0,6,14:29,-4,2,0,1,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,16
TJ Leaf,0,0,1,0,0,1,0,50,2,0,0,0,1,1,2,6:06,-2,0,0,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,3
Aaron Holiday,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,NA
Kyle OQuinn,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,NA
Edmond Sumner,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,NA
Justin Holiday,0,45.5,11,1,2,1,5,50,14,0,0,0,7,1,19,35:53:00,-11,2,1,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,35
Jabari Parker,1,0,1,4,0,7,0,41.7,12,1,100,1,5,6,11,29:48:00,-6,2,0,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,16
Wendell Carter,1,0,0,1,5,8,0,50,10,6,100,1,5,2,11,24:09:00,8,6,1,1,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,32
Zach LaVine,4,28.6,7,4,5,6,2,33.3,21,0,100,4,7,6,20,34:59:00,5,5,1,1,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,35.5
Cameron Payne,0,33.3,3,0,3,2,1,20,5,0,0,0,1,2,3,25:15:00,-4,8,0,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,19
Cristiano Felicio,1,0,0,2,2,9,0,66.7,6,2,50,2,4,7,9,21:29,-3,2,1,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,21
Ryan Arcidiacono,0,100,1,0,0,2,1,33.3,3,0,0,0,1,2,3,22:21,-2,6,0,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,16
Chandler Hutchison,0,33.3,3,1,3,3,1,60,5,0,0,0,3,3,7,16:40,3,1,1,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,15.5
Antonio Blakeney,1,60,5,1,0,3,3,69.2,13,0,100,1,9,3,22,25:32:00,6,0,0,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,29
Robin Lopez,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3:54,-6,1,2,0,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,9.5
Shaquille Harrison,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,119,22,38,27,20,37,21,22,25,105,107,"Fraher""""","Scott""""",Twardoski,INDIANA,IND,CHI,NA
Damyean Dotson,0,33.3,3,1,1,8,1,38.5,13,1,0,2,5,7,11,36:21:00,18,1,0,1,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,24.5
Noah Vonleh,0,0,2,1,5,3,0,50,4,1,0,1,2,2,4,10:17,4,0,0,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,6
Mitchell Robinson,3,0,0,0,5,10,0,83.3,6,5,75,4,5,5,13,34:01:00,9,3,1,3,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,36.5
Tim Hardaway,0,36.4,11,2,3,6,4,41.2,17,1,0,0,7,5,18,33:49:00,10,3,0,1,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,37.5
Frank Ntilikina,3,0,4,3,2,0,0,25,8,0,100,3,2,0,7,32:02:00,7,7,1,3,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,23.5
Lance Thomas,4,0,1,0,4,2,0,75,4,0,100,4,3,2,10,17:25,11,3,0,2,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,18.5
Emmanuel Mudiay,0,0,2,1,1,2,0,60,5,1,0,0,3,1,6,15:58,5,4,0,3,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,22
Enes Kanter,3,0,0,1,0,5,0,71.4,7,0,75,4,5,5,13,20:10,4,2,2,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,23
Allonzo Trier,6,33.3,3,3,2,2,1,80,10,1,85.7,7,8,1,23,24:02:00,1,1,0,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,19.5
Trey Burke,0,0,1,0,0,1,0,33.3,3,0,0,0,1,1,2,6:50,-6,2,0,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,6
Mario Hezonja,0,50,2,0,1,1,1,71.4,7,0,0,1,5,1,11,9:05,-3,0,0,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,14
Ron Baker,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,NA
Luke Kornet,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,NA
Harrison Barnes,5,14.3,7,2,4,1,1,28.6,14,0,83.3,6,4,1,14,35:15:00,-7,2,0,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,13
Luka Doncic,0,33.3,6,4,3,9,2,53.3,15,2,0,1,8,7,18,34:58:00,-10,6,0,1,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,39
DeAndre Jordan,0,0,0,1,3,10,0,40,5,2,0,0,2,8,4,32:17:00,-8,1,0,1,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,17.5
Wesley Matthews,4,33.3,3,1,3,3,1,33.3,6,0,80,5,2,3,9,31:06:00,-20,4,0,1,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,18
Dennis Smith,5,50,4,6,4,2,2,57.1,14,1,50,10,8,1,23,31:54:00,-3,0,0,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,18
Dorian FinneySmith,1,100,2,1,5,7,2,80,10,5,50,2,8,2,19,27:15:00,-4,2,0,2,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,37
JJ Barea,0,0,1,2,0,2,0,20,5,0,0,0,1,2,2,15:20,-4,6,0,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,11
Dwight Powell,0,66.7,3,0,4,2,2,60,5,0,0,0,3,2,8,15:14,-4,0,1,1,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,20
Maxi Kleber,0,33.3,3,1,2,3,1,57.1,7,1,0,0,4,2,9,13:14,-5,1,0,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,14.5
Jalen Brunson,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3:27,5,0,0,0,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,1
Ryan Broekhoff,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,NA
Salah Mejri,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,120,33,23,33,29,27,32,18,29,106,118,"Smith""""","Blair""""",Tiven,NEW,NYK,DAL,NA
Kyle Anderson,2,0,0,1,3,6,0,0,4,2,50,4,0,4,2,31:18:00,3,3,0,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,9.5
Jaren Jackson,0,50,2,3,5,1,1,66.7,9,1,0,0,6,0,13,20:25,2,1,1,1,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,20.5
Marc Gasol,3,50,4,3,4,10,2,50,12,1,50,6,6,9,17,36:29:00,9,7,1,4,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,50.5
Garrett Temple,1,25,4,1,3,4,1,50,10,2,50,2,5,2,12,34:59:00,5,0,0,2,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,22
Mike Conley,11,50,6,0,2,5,3,38.9,18,2,84.6,13,7,3,28,32:55:00,-6,5,0,1,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,38.5
Dillon Brooks,0,0,2,0,5,1,0,50,6,0,0,0,3,1,6,15:01,-2,1,1,1,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,14.5
Wayne Selden,0,100,1,0,4,0,1,66.7,3,0,0,2,2,0,5,15:28,14,1,0,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,8.5
Shelvin Mack,1,66.7,6,3,1,6,4,63.6,11,0,100,1,7,6,19,33:11:00,12,3,0,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,33.5
Omri Casspi,2,0,0,0,1,3,0,100,1,1,50,4,1,2,4,6:51,7,1,0,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,6.5
Ivan Rabb,1,0,0,0,1,2,0,0,0,0,50,2,0,2,1,3:19,-1,0,0,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,2
MarShon Brooks,0,100,1,0,0,1,1,100,1,0,0,0,1,1,3,10:04,7,1,0,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,7.5
JaMychal Green,NA,NA,NA,NA,NA,NA,NA,NA,INJURY/ILLNESS,NA,NA,NA,,NA,NA,DND,NA,NA,NA,NA,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,NA
Chandler Parsons,NA,NA,NA,NA,NA,NA,NA,NA,INJURY/ILLNESS,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,NA
Joe Ingles,4,37.5,8,5,2,3,3,46.2,13,0,80,5,6,3,19,36:56:00,-3,2,1,1,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,28
Derrick Favors,1,50,2,0,3,6,1,55.6,9,4,50,2,5,2,12,23:09,-13,1,2,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,26.5
Rudy Gobert,3,0,0,2,3,16,0,60,5,4,50,6,3,12,9,36:32:00,3,1,1,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,24.5
Grayson Allen,1,28.6,7,0,4,0,2,37.5,8,0,50,2,3,0,9,27:12:00,-18,1,0,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,13.5
Ricky Rubio,1,42.9,7,4,4,2,3,52.9,17,0,50,2,9,2,22,31:50:00,11,11,0,1,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,44.5
Jae Crowder,2,57.1,7,0,2,6,4,60,10,1,50,4,6,5,18,32:10:00,-7,1,1,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,34.5
Royce ONeale,1,0,1,2,3,1,0,33.3,6,0,50,2,2,1,5,21:02,-6,0,0,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,3
Dante Exum,1,0,2,1,4,0,0,16.7,6,0,50,2,1,0,3,19:07,-8,4,0,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,7
Georges Niang,0,50,2,0,0,5,1,33.3,3,1,0,0,1,4,3,12:02,-9,0,0,1,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,13
Naz MitrouLong,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,NA
Thabo Sefolosha,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,NA
Ekpe Udoh,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""""","Buchert""""",Acosta,MEMPHIS,MEM,UTA,NA
Kawhi Leonard,4,50,2,2,0,6,1,50,14,2,66.7,6,7,4,19,29:41:00,4,5,1,2,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,37.5
Pascal Siakam,2,0,0,0,2,5,0,80,5,1,50,4,4,4,10,26:36:00,7,1,0,1,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,17.5
Jonas Valanciunas,1,50,2,2,6,7,1,70,10,1,50,2,7,6,16,24:24:00,3,1,4,1,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,38.5
Danny Green,0,40,5,2,1,2,2,37.5,8,0,0,0,3,2,8,25:51:00,-2,0,1,1,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,18
Kyle Lowry,2,20,5,3,3,6,1,44.4,9,2,100,2,4,4,11,31:52:00,5,12,0,2,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,38
Serge Ibaka,2,0,4,1,2,4,0,50,12,0,50,4,6,4,14,22:40,11,1,2,2,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,28.5
Fred VanVleet,0,50,4,2,2,3,2,42.9,7,0,0,0,3,3,8,20:19,7,6,1,2,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,31
OG Anunoby,0,0,2,0,3,1,0,33.3,3,0,0,0,1,1,2,21:24,2,0,0,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,3
CJ Miles,0,60,5,0,1,1,3,42.9,7,0,0,0,3,1,9,15:38,4,2,1,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,22
Norman Powell,0,50,4,0,1,2,2,50,6,0,0,1,3,2,8,13:57,11,1,0,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,15.5
Delon Wright,2,0,0,0,2,2,0,0,0,0,100,2,0,2,2,6:42,-2,0,0,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,2
Greg Monroe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0:56,-5,0,0,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,-1
Lorenzo Brown,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,NA
Trevor Ariza,0,28.6,7,1,1,6,2,33.3,12,2,0,0,4,4,10,34:24:00,-8,4,0,1,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,28
TJ Warren,4,0,1,4,4,4,0,33.3,9,0,66.7,6,3,4,10,22:39,4,2,0,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,9
Deandre Ayton,3,0,0,1,1,18,0,70,10,7,50,6,7,11,17,35:19:00,-7,2,2,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,40
Devin Booker,0,28.6,7,3,1,4,2,40,20,1,0,1,8,3,18,35:33:00,-6,6,1,1,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,38
Isaiah Canaan,1,50,4,1,3,1,2,66.7,12,0,100,1,8,1,19,32:04:00,1,2,0,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,25
Richaun Holmes,0,0,0,1,2,5,0,25,4,1,0,0,1,4,2,12:41,-2,0,1,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,9
Ryan Anderson,2,50,2,1,2,6,1,20,5,1,50,4,1,5,5,25:21:00,-13,1,0,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,11.5
Elie Okobo,0,0,3,2,2,1,0,25,8,0,0,0,2,1,4,15:42,-10,2,0,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,6
Mikal Bridges,0,0,1,0,1,1,0,33.3,3,0,0,0,1,1,2,10:56,1,0,0,1,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,6
Josh Jackson,0,100,1,1,1,3,1,62.5,8,0,0,0,5,3,11,11:35,-9,1,0,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,16.5
Jamal Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3:45,4,0,0,0,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,0
Dragan Bender,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,NA
Tyson Chandler,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,122,23,25,29,30,26,26,19,27,98,107,"Garretson""""","Richardson""""",Brown,TORONTO,TOR,PHX,NA
Andrew Wiggins,0,44.4,9,1,2,4,4,39.1,23,0,0,0,9,4,22,36:49:00,-10,0,1,2,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,42
Taj Gibson,0,50,4,0,3,3,2,50,10,2,0,0,5,1,12,24:08:00,-7,3,0,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,23.5
KarlAnthony Towns,1,33.3,6,2,0,11,2,38.5,13,1,50,2,5,10,13,35:22:00,-15,1,1,2,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,35.5
Jimmy Butler,1,0,8,0,3,3,0,43.5,23,2,50,2,10,1,21,35:17:00,-19,5,0,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,30.5
Tyus Jones,0,28.6,7,0,2,5,2,27.3,11,2,0,0,3,3,8,40:30:00,-18,9,0,2,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,36.5
Derrick Rose,0,100,1,0,0,0,1,100,1,0,0,0,1,0,3,4:43,3,2,0,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,8
Josh Okogie,6,50,2,2,0,5,1,40,10,0,85.7,7,4,5,15,25:00:00,-4,1,0,1,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,18.5
Anthony Tolliver,2,20,5,0,4,1,1,20,5,0,66.7,3,1,1,5,22:14,-7,3,1,1,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,16.5
Gorgui Dieng,0,0,1,0,2,7,0,0,3,1,0,0,0,6,0,12:38,-2,1,1,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,11.5
James Nunnally,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3:19,-6,0,0,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,0
Keita BatesDiop,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,NA
Luol Deng,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,NA
CJ Williams,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,NA
Kevin Durant,8,60,5,4,2,13,3,57.9,19,0,88.9,9,11,13,33,36:02:00,17,3,1,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,47.5
Draymond Green,1,0,2,4,3,9,0,57.1,7,2,50,2,4,7,9,33:04:00,24,11,3,1,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,41.5
Damian Jones,2,0,0,0,0,4,0,66.7,3,1,100,2,2,3,6,16:37,5,0,0,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,8
Klay Thompson,0,44.4,9,2,2,4,4,52.9,17,0,0,0,9,4,22,36:18:00,25,1,0,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,33.5
Stephen Curry,2,33.3,12,4,3,9,4,45.8,24,1,100,2,11,8,28,35:28:00,6,7,2,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,55.5
Kevon Looney,1,0,0,0,0,6,0,0,1,2,50,2,0,4,1,15:28,-3,0,2,0,2-Nov-18,123,32,26,29,12,36,25,22,33,116,99,"Foster""""","Dalen""""",Barnaky,GOLDEN,MIN,GSW,12
