Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1QH,2QH,3QH,4QH,1QA,2QA,3QA,4QA,Total_H,Total_A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year,Years,Pos,Ht,Wt,Last_Game_TOV,AverageTOV,Last_Game_REB,AverageREB,Last_Game_3PM,Average3PM,Last_Game_FGM,AverageFGM,Last_Game_PTS,AveragePTS,Last_Game_AST,AverageAST,Last_Game_STL,AverageSTL,Last_Game_BLK,AverageBLK
Wesley Matthews,5,28.6,7,2,0,2,2,40,10,1,83,6,4,1,15,34:21:00,-15,5,0,1,10/17/2018,13,24,22,27,27,37,19,27,38,121,100,"Callahan""","Wood""",Scott,PHOENIX,DAL,PHX,25,2019,10,G,5-Jun,220,,,,,,,,,,,,,,,,
CJ McCollum,6,50,6,2,4,5,3,35.3,17,1,100,6,6,4,21,31:01:00,-9,1,0,0,10/18/2018,16,31,32,28,28,34,31,28,35,128,119,"Zarba""","Forte""",Petraitis,PORTLAND,LAL,POR,26,2019,6,G,3-Jun,190,,,,,,,,,,,,,,,,
Doug McDermott,1,20,5,0,2,1,1,55.6,9,0,50,2,5,1,12,24:24:00,20,1,0,1,10/17/2018,5,16,23,19,25,27,29,20,35,111,83,"Brothers""","Taylor""",Van,INDIANA,MEM,IND,19,2019,5,F,8-Jun,225,,,,,,,,,,,,,,,,
JaVale McGee,3,0,0,0,3,8,0,83.3,6,3,75,4,5,5,13,21:35,-1,1,3,1,10/18/2018,16,31,32,28,28,34,31,28,35,128,119,"Zarba""","Forte""",Petraitis,PORTLAND,LAL,POR,32,2019,11,C,Jul-00,270,,,,,,,,,,,,,,,,
Rodney McGruder,2,40,5,1,3,3,2,22.2,9,0,67,3,2,3,8,31:30:00,4,3,1,0,10/17/2018,6,31,20,27,23,25,29,25,25,104,101,"Washington""","Boland""",Acosta,ORLANDO,MIA,ORL,20,2019,3,G,4-Jun,205,,,,,,,,,,,,,,,,
Rodney McGruder,3,42.9,7,2,5,8,3,58.3,12,1,100,3,7,7,20,34:08:00,-1,6,1,0,10/18/2018,15,24,34,27,28,25,34,30,23,112,113,"Ayotte""","Wright""",Smith,MIAMI,MIA,WAS,41,2019,3,G,4-Jun,205,1,,3,,2,,2,,8,,3,,1,,0,
Alfonzo McKinnie,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2:21,-1,0,0,0,10/16/2018,2,23,24,32,21,31,26,26,25,108,100,"Zarba""","Forte""",Petraitis,GOLDEN,OKC,GSW,0,2019,2,F,8-Jun,215,,,,,,,,,,,,,,,,
Khris Middleton,2,50,6,2,3,9,3,50,14,1,100,2,7,8,19,32:46:00,2,4,1,2,10/17/2018,3,36,31,26,20,23,31,29,29,112,113,"Corbin""","Foster""",Richardson,MILWAUKEE,MIL,CHA,45,2019,7,F-G,8-Jun,234,,,,,,,,,,,,,,,,
Darius Miller,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,19:56,-5,1,0,1,10/17/2018,9,35,36,30,30,29,25,30,28,112,131,"Lewis""","Blair""",Cutler,NEW,NOP,HOU,3,2019,7,F,8-Jun,235,,,,,,,,,,,,,,,,
Patty Mills,0,33.3,6,1,2,2,2,28.6,7,0,0,0,2,2,6,29:53:00,1,1,0,0,10/17/2018,10,23,29,31,25,31,25,25,31,112,108,"Brown""","Maddox""",Ervin,SAN,MIN,SAS,13,2019,10,G,Jun-00,185,,,,,,,,,,,,,,,,
Paul Millsap,9,0,1,2,2,16,0,14.3,7,3,75,12,1,13,11,30:19:00,20,0,1,1,10/17/2018,12,29,30,15,33,24,30,18,26,98,107,"Richardson""","Phillips""",Twardoski,DENVER,DEN,LAC,22,2019,13,F,8-Jun,246,,,,,,,,,,,,,,,,
Nikola Mirotic,2,75,8,1,1,10,6,55,20,7,67,3,11,3,30,29:54:00,14,3,0,0,10/17/2018,9,35,36,30,30,29,25,30,28,112,131,"Lewis""","Blair""",Cutler,NEW,NOP,HOU,54,2019,5,F,10-Jun,220,,,,,,,,,,,,,,,,
Donovan Mitchell,5,30,10,4,5,3,3,38.1,21,0,83,6,8,3,24,36:12:00,-12,2,0,2,10/17/2018,11,30,38,25,30,34,21,32,30,117,123,"Davis""","Orr""",Washington,UTAH,UTA,SAC,33,2019,2,G,3-Jun,211,,,,,,,,,,,,,,,,
Malik Monk,0,50,8,0,1,4,4,43.8,16,0,0,0,7,4,18,33:34:00,5,2,2,1,10/17/2018,3,36,31,26,20,23,31,29,29,112,113,"Corbin""","Foster""",Richardson,MILWAUKEE,MIL,CHA,42,2019,2,G,3-Jun,200,,,,,,,,,,,,,,,,
Marcus Morris,0,28.6,7,1,5,10,2,58.3,12,2,0,0,7,8,16,20:30,3,0,0,2,10/16/2018,1,21,21,24,21,21,26,30,28,105,87,"Foster""","Garretson""",Taylor,BOSTON,PHI,BOS,35,2019,8,F,9-Jun,235,,,,,,,,,,,,,,,,
Markieff Morris,3,66.7,3,3,4,5,2,37.5,8,0,75,4,3,5,11,24:50:00,-1,2,2,0,10/18/2018,15,24,34,27,28,25,34,30,23,112,113,"Ayotte""","Wright""",Smith,MIAMI,MIA,WAS,23,2019,8,F,10-Jun,245,,,,,,,,,,,,,,,,
Monte Morris,0,50,2,0,0,2,1,33.3,9,1,0,0,3,1,7,16:23,-9,4,0,1,10/17/2018,12,29,30,15,33,24,30,18,26,98,107,"Richardson""","Phillips""",Twardoski,DENVER,DEN,LAC,20,2019,2,G,3-Jun,175,,,,,,,,,,,,,,,,
Jamal Murray,0,25,4,1,2,5,1,25,12,2,0,0,3,3,7,31:38:00,18,3,0,1,10/17/2018,12,29,30,15,33,24,30,18,26,98,107,"Richardson""","Phillips""",Twardoski,DENVER,DEN,LAC,21,2019,3,G,4-Jun,207,,,,,,,,,,,,,,,,
Georges Niang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:59,-2,0,0,0,10/17/2018,11,30,38,25,30,34,21,32,30,117,123,"Davis""","Orr""",Washington,UTAH,UTA,SAC,0,2019,3,F,8-Jun,230,,,,,,,,,,,,,,,,
Nerlens Noel,1,0,0,0,3,7,0,50,2,3,50,2,1,4,3,12:24,-2,1,1,1,10/16/2018,2,23,24,32,21,31,26,26,25,108,100,"Zarba""","Forte""",Petraitis,GOLDEN,OKC,GSW,17,2019,5,C-F,11-Jun,228,,,,,,,,,,,,,,,,
Frank Ntilikina,0,50,2,1,1,5,1,28.6,7,0,0,0,2,5,5,33:38:00,-2,1,1,3,10/17/2018,7,24,25,35,23,23,49,34,20,126,107,"Garretson""","Goble""",Kogut,NEW,ATL,NYK,25,2019,2,G,5-Jun,190,,,,,,,,,,,,,,,,
Jusuf Nurkic,2,0,1,2,4,9,0,50,14,6,100,2,7,3,16,17:11,-17,0,0,2,10/18/2018,16,31,32,28,28,34,31,28,35,128,119,"Zarba""","Forte""",Petraitis,PORTLAND,LAL,POR,27,2019,5,C,Jul-00,280,,,,,,,,,,,,,,,,
David Nwaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:43,-1,0,0,0,10/17/2018,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""","Fitzgerald""",Nansel,TORONTO,CLE,TOR,0,2019,3,G,4-Jun,209,,,,,,,,,,,,,,,,
Semi Ojeleye,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1:27,2,0,0,0,10/16/2018,1,21,21,24,21,21,26,30,28,105,87,"Foster""","Garretson""",Taylor,BOSTON,PHI,BOS,1,2019,2,F,7-Jun,241,,,,,,,,,,,,,,,,
Jahlil Okafor,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1:35,-2,0,0,0,10/17/2018,9,35,36,30,30,29,25,30,28,112,131,"Lewis""","Blair""",Cutler,NEW,NOP,HOU,-2,2019,4,C-F,11-Jun,275,,,,,,,,,,,,,,,,
Victor Oladipo,1,50,6,3,3,5,3,54.5,11,0,50,2,6,5,16,25:47:00,9,5,0,0,10/17/2018,5,16,23,19,25,27,29,20,35,111,83,"Brothers""","Taylor""",Van,INDIANA,MEM,IND,31,2019,6,G,4-Jun,210,,,,,,,,,,,,,,,,
Kelly Olynyk,2,0,3,1,3,1,0,25,4,1,100,2,1,0,4,15:25,-16,0,0,0,10/17/2018,6,31,20,27,23,25,29,25,25,104,101,"Washington""","Boland""",Acosta,ORLANDO,MIA,ORL,2,2019,6,C-F,Jul-00,238,,,,,,,,,,,,,,,,
Kelly Olynyk,0,50,2,0,2,4,1,66.7,6,2,0,0,4,2,9,15:22,0,1,1,0,10/18/2018,15,24,34,27,28,25,34,30,23,112,113,"Ayotte""","Wright""",Smith,MIAMI,MIA,WAS,20,2019,6,C-F,Jul-00,238,1,,1,,0,,1,,4,,0,,0,,0,
Cedi Osman,5,100,2,3,1,10,2,50,10,3,83,6,5,7,17,33:05:00,-21,4,0,2,10/17/2018,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""","Fitzgerald""",Nansel,TORONTO,CLE,TOR,35,2019,2,F,8-Jun,210,,,,,,,,,,,,,,,,
Kelly Oubre,5,0,3,1,1,6,0,25,8,2,83,6,2,4,9,20:15,-3,0,1,0,10/18/2018,15,24,34,27,28,25,34,30,23,112,113,"Ayotte""","Wright""",Smith,MIAMI,MIA,WAS,12,2019,4,F,7-Jun,205,,,,,,,,,,,,,,,,
Zaza Pachulia,2,0,0,2,5,7,0,33.3,6,2,100,2,2,5,6,14:43,9,4,1,2,10/17/2018,4,29,22,25,24,24,27,32,20,103,100,"Mott""","Dalen""",Lane,DETROIT,BKN,DET,24,2019,16,C,11-Jun,270,,,,,,,,,,,,,,,,
